LocationID;Zone;Zone_Lat;Zone_Lon;borough_ID;Borough;borough_lat;borough_lon;borough_boundingbox
47;Claremont/Bathgate;40.83142834161;-73.9011990338;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
48;Clinton East;40.763000000000005;-73.992;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
49;Clinton Hill;40.69322942188151;-73.96784306216367;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
50;Clinton West;40.763000000000005;-73.993;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
51;Co-Op City;40.874;-73.829;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
52;Cobble Hill;40.687919722485574;-73.99856139218463;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
53;College Point;40.78490274926021;-73.84304528896125;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
54;Columbia Street;40.6855617;-74.00216759999999;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
55;Coney Island;40.57429256471601;-73.98868295821637;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
56;Corona;40.74238175015667;-73.85682497345258;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
57;Corona;40.74238175015667;-73.85682497345258;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
58;Country Club;40.844245936947374;-73.8240992675385;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
59;Crotona Park;40.8388;-73.8952;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
60;Crotona Park East;40.8388;-73.8942;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
61;Crown Heights North;40.670829176;-73.9432911907;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
62;Crown Heights South;40.671829175999996;-73.9432911907;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
63;Cypress Hills;40.68239101144211;-73.87661596457295;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
64;Douglaston;40.76684609790763;-73.74249820727329;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
